variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
no-JEPA-regression,66,0.0,ATV,686,30,656,0.8746649050245099
no-JEPA-regression,66,0.1,V,8,0,8,0.7500000000000001
no-JEPA-regression,66,0.1,T,7,1,6,0.6666666666666666
no-JEPA-regression,66,0.1,TV,62,2,60,0.9015873015873016
no-JEPA-regression,66,0.1,A,7,1,6,0.8285714285714286
no-JEPA-regression,66,0.1,AV,58,3,55,0.7276352759902112
no-JEPA-regression,66,0.1,AT,51,1,50,0.8432597623089982
no-JEPA-regression,66,0.1,ATV,493,22,471,0.8801142240632687
no-JEPA-regression,66,0.2,V,32,2,30,0.7127086007702182
no-JEPA-regression,66,0.2,T,23,0,23,0.7301003344481607
no-JEPA-regression,66,0.2,TV,87,2,85,0.9413887979616573
no-JEPA-regression,66,0.2,A,21,0,21,0.756456358287022
no-JEPA-regression,66,0.2,AV,96,3,93,0.5930596285434995
no-JEPA-regression,66,0.2,AT,82,5,77,0.845219435736677
no-JEPA-regression,66,0.2,ATV,345,18,327,0.8807001996424554
no-JEPA-regression,66,0.3,V,41,0,41,0.6849323521698216
no-JEPA-regression,66,0.3,T,43,2,41,0.9030281607163896
no-JEPA-regression,66,0.3,TV,80,3,77,0.8949232585596222
no-JEPA-regression,66,0.3,A,48,1,47,0.7259267883303743
no-JEPA-regression,66,0.3,AV,122,8,114,0.6802925427713203
no-JEPA-regression,66,0.3,AT,105,5,100,0.8594166666666666
no-JEPA-regression,66,0.3,ATV,247,11,236,0.8465595062638173
no-JEPA-regression,66,0.4,V,96,3,93,0.6873003049830599
no-JEPA-regression,66,0.4,T,71,3,68,0.8382003028336579
no-JEPA-regression,66,0.4,TV,102,2,100,0.8778125
no-JEPA-regression,66,0.4,A,73,4,69,0.7212864156157217
no-JEPA-regression,66,0.4,AV,94,4,90,0.7702214825246448
no-JEPA-regression,66,0.4,AT,103,6,97,0.8763676244790524
no-JEPA-regression,66,0.4,ATV,147,8,139,0.8561151079136691
no-JEPA-regression,66,0.5,V,122,4,118,0.6425508861543223
no-JEPA-regression,66,0.5,T,129,9,120,0.8995475113122171
no-JEPA-regression,66,0.5,TV,94,5,89,0.9324643738010415
no-JEPA-regression,66,0.5,A,102,3,99,0.6745638200183655
no-JEPA-regression,66,0.5,AV,85,1,84,0.6503657262277952
no-JEPA-regression,66,0.5,AT,80,4,76,0.8181444377990431
no-JEPA-regression,66,0.5,ATV,74,4,70,0.8041343669250647
no-JEPA-regression,66,0.6,V,161,6,155,0.6361929587736039
no-JEPA-regression,66,0.6,T,144,8,136,0.8384828029572485
no-JEPA-regression,66,0.6,TV,83,5,78,0.8717948717948718
no-JEPA-regression,66,0.6,A,136,7,129,0.6959458561038201
no-JEPA-regression,66,0.6,AV,66,2,64,0.5964912280701755
no-JEPA-regression,66,0.6,AT,63,2,61,0.9016393442622951
no-JEPA-regression,66,0.6,ATV,33,0,33,0.8794612794612795
no-JEPA-regression,66,0.7,V,173,3,170,0.6705882352941176
no-JEPA-regression,66,0.7,T,202,13,189,0.8676028743469733
no-JEPA-regression,66,0.7,TV,48,2,46,0.9132081686429511
no-JEPA-regression,66,0.7,A,168,7,161,0.633730255892626
no-JEPA-regression,66,0.7,AV,41,4,37,0.6256347256347257
no-JEPA-regression,66,0.7,AT,38,1,37,0.9459459459459459
no-JEPA-regression,66,0.7,ATV,16,0,16,0.873015873015873
no-JEPA-regression,67,0.0,ATV,686,30,656,0.8697969823904403
no-JEPA-regression,67,0.1,V,6,0,6,0.8380952380952381
no-JEPA-regression,67,0.1,T,7,0,7,0.6714285714285715
no-JEPA-regression,67,0.1,TV,59,1,58,0.8790554948769959
no-JEPA-regression,67,0.1,A,5,0,5,0.4
no-JEPA-regression,67,0.1,AV,62,3,59,0.765819209039548
no-JEPA-regression,67,0.1,AT,61,6,55,0.8705516705516704
no-JEPA-regression,67,0.1,ATV,486,20,466,0.8603666549305783
no-JEPA-regression,67,0.2,V,24,0,24,0.6018518518518519
no-JEPA-regression,67,0.2,T,16,2,14,0.789152024446142
no-JEPA-regression,67,0.2,TV,85,4,81,0.8658312447786131
no-JEPA-regression,67,0.2,A,19,1,18,0.7213622291021671
no-JEPA-regression,67,0.2,AV,93,1,92,0.6851178274740687
no-JEPA-regression,67,0.2,AT,80,5,75,0.9063660762211486
no-JEPA-regression,67,0.2,ATV,369,17,352,0.8787321746880569
no-JEPA-regression,67,0.3,V,53,3,50,0.662060606060606
no-JEPA-regression,67,0.3,T,58,2,56,0.8368012955783481
no-JEPA-regression,67,0.3,TV,93,4,89,0.864117358499381
no-JEPA-regression,67,0.3,A,49,4,45,0.6497354497354497
no-JEPA-regression,67,0.3,AV,103,4,99,0.6621997732192558
no-JEPA-regression,67,0.3,AT,97,2,95,0.926163356903925
no-JEPA-regression,67,0.3,ATV,233,11,222,0.8375657764970743
no-JEPA-regression,67,0.4,V,94,4,90,0.5613472886247147
no-JEPA-regression,67,0.4,T,90,2,88,0.9088530517101945
no-JEPA-regression,67,0.4,TV,85,4,81,0.8242487770789658
no-JEPA-regression,67,0.4,A,79,4,75,0.6399999999999999
no-JEPA-regression,67,0.4,AV,92,3,89,0.6384291480309806
no-JEPA-regression,67,0.4,AT,93,7,86,0.7921707699652185
no-JEPA-regression,67,0.4,ATV,153,6,147,0.8361507253503812
no-JEPA-regression,67,0.5,V,120,1,119,0.658242879452666
no-JEPA-regression,67,0.5,T,110,5,105,0.8233122822299652
no-JEPA-regression,67,0.5,TV,85,7,78,0.8833474218089603
no-JEPA-regression,67,0.5,A,125,4,121,0.6037393307139954
no-JEPA-regression,67,0.5,AV,85,5,80,0.6665991902834008
no-JEPA-regression,67,0.5,AT,81,4,77,0.8530138906588504
no-JEPA-regression,67,0.5,ATV,80,4,76,0.8923872180451126
no-JEPA-regression,67,0.6,V,161,14,147,0.5986394557823129
no-JEPA-regression,67,0.6,T,153,4,149,0.8178096557344395
no-JEPA-regression,67,0.6,TV,58,0,58,0.8953266787658802
no-JEPA-regression,67,0.6,A,148,9,139,0.6714784099290033
no-JEPA-regression,67,0.6,AV,65,1,64,0.7327437975927291
no-JEPA-regression,67,0.6,AT,68,1,67,0.8935999786398955
no-JEPA-regression,67,0.6,ATV,33,1,32,0.8665458937198067
no-JEPA-regression,67,0.7,V,187,10,177,0.7002017305359792
no-JEPA-regression,67,0.7,T,171,8,163,0.8528680224039811
no-JEPA-regression,67,0.7,TV,41,3,38,0.7606542784021364
no-JEPA-regression,67,0.7,A,168,4,164,0.7095263343937785
no-JEPA-regression,67,0.7,AV,55,3,52,0.6119248068273556
no-JEPA-regression,67,0.7,AT,46,2,44,0.9083139083139083
no-JEPA-regression,67,0.7,ATV,18,0,18,0.9442724458204333
no-JEPA-regression,68,0.0,ATV,686,30,656,0.8747369905986095
no-JEPA-regression,68,0.1,V,3,0,3,0.3333333333333333
